position,pace,shooting,passing,dribbling,defending,physical,gkDiving,gkHandling,gkKicking,gkReflexes,gkPositioning,ovr
RB,87.86,38.99,63.71,62.75,67.91,58.92,13.79,14.0,9.63,12.78,14.05,80.72
RB,79.36,52.48,84.27,60.89,71.4,62.71,8.99,12.93,10.32,13.22,10.22,80.61
CAM,74.22,57.37,88.02,65.8,41.14,41.39,17.78,11.71,12.5,7.56,23.27,82.38
CB,75.43,48.62,71.79,41.08,79.61,61.92,10.67,7.73,9.51,2.34,9.68,81.36
LW,89.58,69.62,60.89,73.21,31.81,45.92,9.83,9.38,16.73,9.75,5.16,80.55
RW,78.98,79.57,79.87,70.8,42.75,55.16,11.27,12.48,8.93,9.83,11.62,86.52
CDM,65.41,54.5,70.31,64.99,71.59,95.08,14.98,13.36,12.51,9.51,11.51,84.33
LB,83.92,34.23,61.59,78.02,82.25,49.52,13.6,9.77,6.48,14.06,14.55,81.72
CM,63.35,69.31,68.65,67.1,54.84,55.55,17.37,20.35,7.62,9.3,16.97,77.96
RB,73.35,32.86,76.0,59.87,81.52,74.43,13.73,8.66,5.93,12.33,16.37,81.9
ST,73.01,62.31,60.01,62.47,55.62,86.45,13.5,4.19,10.99,19.72,7.67,82.58
CAM,66.74,74.01,70.0,70.93,35.87,57.13,11.82,16.79,14.07,7.17,13.2,80.32
RB,79.86,51.53,70.08,46.36,64.34,65.91,18.22,9.56,7.01,6.04,8.4,80.27
RW,77.15,61.98,78.91,83.89,49.24,47.17,11.59,6.37,12.31,14.01,14.76,83.56
CDM,64.8,52.55,63.85,70.73,77.19,65.22,11.22,15.96,11.4,4.01,10.38,79.99
RW,93.3,70.88,56.1,78.46,30.09,45.57,8.7,12.66,8.51,7.85,12.47,83.54
LB,72.94,49.19,58.37,52.24,58.31,56.83,15.01,7.17,12.88,9.43,4.8,73.76
LB,75.99,29.69,62.98,55.76,60.57,62.84,18.2,13.34,9.98,12.09,15.68,76.29
GK,52.31,22.23,59.67,41.39,43.17,61.84,76.12,67.19,61.13,65.85,88.91,81.51
LB,73.97,39.18,66.53,83.81,62.83,69.42,8.58,11.89,13.38,13.6,8.86,80.91
CAM,77.47,57.68,88.98,72.32,52.04,45.38,6.69,8.94,9.19,8.31,10.09,80.94
ST,75.22,69.5,53.66,83.72,11.96,78.14,14.55,15.35,7.51,4.3,12.29,85.23
LW,85.71,72.17,74.26,72.36,53.05,78.01,19.33,10.24,14.65,11.7,13.16,84.43
CM,73.83,75.47,63.49,70.43,45.32,49.28,10.24,12.59,13.94,7.24,10.97,74.26
RB,62.88,54.32,44.36,59.98,57.96,69.81,8.6,13.02,13.61,14.1,10.85,75.98
LB,77.95,38.43,49.33,61.76,68.58,78.75,12.29,10.8,12.34,6.23,18.82,81.82
CB,78.98,34.6,62.07,53.48,78.78,84.39,15.99,11.24,8.95,11.1,9.5,85.78
LB,64.64,34.51,78.33,62.57,72.62,69.32,18.4,11.16,11.14,12.18,15.1,79.96
CM,49.39,59.94,78.34,67.02,65.62,72.99,11.85,11.84,9.79,14.2,14.67,80.48
LB,61.52,37.81,75.02,54.5,65.72,80.15,11.05,16.68,21.9,12.87,13.31,80.07
GK,33.28,31.71,48.76,28.99,39.69,46.36,65.59,72.59,72.25,87.12,76.79,80.69
CB,38.39,26.35,65.73,44.6,80.88,69.44,14.4,7.12,14.91,14.32,6.97,76.58
CB,46.33,23.96,65.08,53.96,81.49,87.0,9.19,13.79,15.89,12.7,11.55,83.17
LW,87.98,66.69,67.16,99.0,28.86,72.33,11.8,13.97,10.4,16.56,12.71,87.18
LB,77.77,29.09,62.99,71.03,65.97,73.14,17.59,8.11,2.35,14.05,11.38,82.75
RB,83.81,37.32,53.83,60.88,75.38,63.43,13.2,8.81,16.93,14.86,9.91,79.06
ST,61.44,94.73,56.8,72.27,19.64,78.74,16.34,9.11,10.41,11.82,17.53,84.35
ST,76.39,99.0,46.14,52.93,40.05,73.43,8.42,5.32,7.87,5.87,16.77,83.98
ST,87.21,75.87,56.57,68.9,40.25,75.82,10.57,10.67,17.26,14.01,8.38,83.81
RW,80.48,78.92,53.78,82.46,37.49,52.95,16.26,14.64,8.36,7.85,20.43,83.98
RB,78.7,47.56,59.0,52.78,65.44,68.18,15.56,10.0,11.83,21.57,18.23,77.81
CAM,97.77,69.54,79.28,70.87,36.32,65.9,14.57,14.94,12.93,12.8,8.53,83.13
CM,81.97,75.58,81.55,81.88,67.43,67.79,12.94,8.81,12.31,11.32,14.68,88.04
RB,86.23,42.9,73.46,72.05,80.3,56.07,15.44,17.06,13.02,11.55,7.89,85.93
RW,83.49,64.16,69.53,80.33,42.68,48.2,15.8,13.4,8.97,13.3,10.01,82.04
LB,82.6,53.94,88.88,77.99,67.09,66.89,11.14,9.84,16.42,10.94,15.85,85.57
RB,84.54,61.35,57.13,49.17,83.25,58.93,6.08,15.58,13.77,17.1,11.86,81.13
ST,72.54,70.95,51.86,75.87,59.3,57.48,14.74,5.58,14.08,7.41,8.9,79.25
RB,75.44,46.57,76.77,73.04,63.66,62.73,14.39,8.12,8.23,13.43,8.84,83.0
RB,75.19,56.36,61.97,70.0,57.25,60.47,19.09,12.46,9.47,7.6,16.26,80.1
LB,71.69,42.46,58.35,74.77,64.72,58.18,12.3,15.54,15.59,11.88,18.59,78.85
CB,44.53,32.1,53.2,49.77,76.09,78.87,7.48,5.77,16.42,14.78,18.74,79.47
CM,69.83,68.02,80.4,69.63,80.41,51.82,6.58,9.3,17.89,6.54,13.21,82.68
CB,53.56,55.69,32.26,53.64,61.84,53.89,26.87,13.9,11.29,3.62,14.61,69.29
ST,65.05,74.64,68.03,76.14,25.14,67.15,12.1,15.51,15.45,3.19,13.76,80.94
ST,80.66,80.78,77.76,90.2,22.93,74.91,12.52,1.67,20.0,13.46,11.59,88.26
RB,66.71,54.39,54.75,64.32,70.12,55.68,11.85,12.36,13.03,9.5,19.35,76.41
ST,82.86,66.83,56.58,71.3,33.46,75.5,12.42,10.92,11.42,17.24,16.38,81.81
RB,70.48,26.69,56.03,67.51,72.6,72.48,15.54,15.55,17.1,14.76,11.91,79.97
CDM,61.89,27.14,63.76,65.98,76.19,68.44,6.36,13.61,5.39,20.34,15.48,78.45
CDM,62.99,50.48,76.12,61.87,75.21,86.65,20.16,14.93,10.35,8.39,12.87,86.68
ST,87.07,80.64,51.36,85.81,34.78,66.38,15.82,3.86,9.97,10.25,13.85,85.77
RB,77.99,35.93,60.32,68.7,63.53,76.53,14.35,13.37,5.38,3.4,9.72,80.02
GK,32.22,28.69,49.15,34.18,41.35,60.6,81.54,55.03,54.22,76.03,93.66,79.93
RB,85.58,37.97,72.27,61.66,63.57,57.42,11.1,16.4,10.77,12.96,8.77,80.88
RW,84.51,73.25,68.57,81.9,41.89,64.58,10.02,14.01,12.55,7.13,9.81,86.03
LB,80.02,61.47,69.2,64.59,60.56,66.56,19.83,14.58,8.34,11.19,14.71,79.83
RW,88.85,66.33,70.7,90.22,55.41,47.68,12.69,13.01,18.26,14.95,15.81,84.34
GK,58.37,27.49,27.5,31.77,37.02,64.62,86.29,74.89,71.25,69.06,84.16,82.36
LW,89.26,59.52,40.61,83.13,49.99,50.84,18.01,11.68,14.82,10.43,15.0,81.03
LW,89.18,60.82,77.64,89.24,48.41,36.43,8.9,3.47,5.78,13.28,9.52,85.94
CB,57.28,33.52,50.71,48.47,82.61,64.53,11.28,16.9,12.07,20.25,1.0,81.63
CM,74.72,87.01,73.1,58.0,52.76,45.97,6.5,10.1,23.84,13.12,15.18,77.44
CDM,74.99,64.37,64.92,75.32,73.33,71.38,18.26,12.01,18.48,10.12,5.6,85.18
CDM,56.88,62.47,62.65,55.6,73.31,75.01,9.09,13.92,9.09,7.1,14.86,80.37
LB,62.32,48.76,67.86,71.36,82.24,68.46,11.94,9.82,13.99,15.6,11.63,80.82
RB,69.87,55.48,80.25,62.22,65.1,54.83,20.01,19.22,14.94,14.49,13.5,79.87
CAM,70.82,56.41,84.53,88.13,51.05,66.65,5.76,9.77,7.06,17.9,10.83,85.47
CDM,59.23,73.97,63.89,63.8,72.22,68.83,8.14,9.91,8.74,7.14,9.35,81.07
CB,56.86,25.18,65.9,41.95,84.08,68.97,18.16,17.32,8.61,5.33,13.84,80.87
LW,61.57,63.01,69.02,94.21,36.48,63.09,5.72,10.86,8.56,14.64,7.1,79.75
LW,76.45,68.71,79.44,68.84,55.95,59.14,16.1,14.78,9.68,16.38,15.93,80.51
CB,79.55,41.86,61.89,44.98,75.35,55.97,8.63,17.21,22.65,20.38,26.1,80.58
CDM,49.47,48.79,73.83,77.51,79.67,84.21,13.68,18.44,15.21,13.23,11.8,84.18
RW,89.2,60.53,67.77,74.08,49.65,48.89,6.44,6.3,7.97,10.22,11.44,81.31
LB,55.61,59.51,58.15,74.0,56.75,55.36,15.79,13.51,5.1,13.34,8.21,74.61
CB,53.63,35.64,41.98,32.17,80.93,91.58,15.93,8.77,14.81,10.61,18.88,82.79
CAM,87.49,66.65,73.35,78.97,44.77,57.34,4.25,15.82,9.11,6.89,17.01,81.78
RB,60.71,46.63,69.6,69.13,54.82,71.47,12.98,18.4,14.68,9.2,12.72,78.23
CM,76.01,47.0,61.17,83.21,42.63,71.73,11.09,10.04,8.57,14.55,12.07,79.02
CB,53.68,35.45,54.3,35.64,49.22,61.47,11.14,13.94,14.38,8.7,6.16,73.94
CAM,64.39,85.2,86.64,82.72,34.57,59.21,11.83,13.21,12.81,7.33,5.32,87.39
RB,53.37,58.81,64.92,72.43,57.94,70.86,10.61,11.64,16.66,11.41,13.14,77.8
GK,36.22,20.23,72.82,44.2,44.11,66.02,84.23,68.44,78.34,64.13,66.67,81.41
GK,19.33,25.13,28.71,33.59,33.73,57.84,79.09,77.94,80.09,71.94,97.7,86.1
LB,75.59,42.46,53.2,74.05,71.99,64.01,6.11,13.9,5.78,13.85,9.18,81.04
CDM,53.57,45.43,61.74,84.71,74.55,63.3,9.27,12.16,13.72,16.34,12.05,80.19
RB,83.54,39.14,70.31,74.76,72.31,72.29,14.5,19.21,11.18,17.72,11.26,84.28
LB,65.28,40.79,63.96,69.79,78.93,69.43,13.92,8.4,17.01,11.91,11.2,80.53
CB,69.11,30.72,42.68,47.4,79.03,81.37,17.65,16.13,16.12,17.21,18.27,82.31
RW,88.77,55.72,87.15,79.05,38.31,55.02,13.15,15.2,10.86,15.26,18.95,82.41
RB,92.29,59.24,50.81,51.86,63.01,60.29,12.13,17.1,2.08,14.27,7.13,79.77
GK,53.14,22.25,53.53,41.38,39.98,65.43,64.14,66.17,49.89,53.62,61.9,72.13
ST,58.74,72.33,80.52,61.97,45.09,64.7,5.59,14.02,9.96,7.74,11.63,79.98
CDM,54.55,46.02,71.06,63.36,68.48,65.9,16.22,9.3,9.66,5.24,11.26,79.44
LW,71.79,71.95,65.35,78.95,41.54,52.02,9.27,14.99,16.05,16.89,14.05,80.89
CM,61.7,66.73,73.47,62.22,59.66,58.52,10.75,11.62,13.22,11.59,12.06,77.52
CAM,76.08,58.12,86.52,77.46,37.2,62.35,13.79,16.89,5.5,15.8,21.35,81.85
LB,64.6,45.82,53.21,72.78,78.84,64.97,18.92,10.94,10.8,13.09,18.61,79.87
GK,31.25,25.54,45.18,36.56,43.51,71.72,69.29,50.35,61.94,66.99,73.63,71.82
RB,71.95,52.02,70.87,57.69,65.18,59.9,11.65,12.6,11.81,12.4,13.54,75.28
RB,64.39,40.03,70.82,52.03,62.01,61.26,13.99,13.76,11.58,12.5,15.78,77.95
ST,66.31,58.76,57.63,74.36,45.67,51.63,16.24,19.2,20.03,11.54,11.3,78.45
RB,61.9,51.14,50.55,65.53,78.33,57.2,9.93,18.95,10.52,11.95,14.71,78.81
RW,75.55,58.82,73.28,82.55,28.15,49.75,6.6,9.46,13.16,12.31,14.79,83.82
GK,30.43,24.37,51.1,31.35,49.59,58.66,63.06,81.37,70.39,65.43,83.05,81.64
CAM,64.04,79.4,61.93,68.89,24.77,59.43,15.16,8.02,15.64,9.51,7.08,80.19
ST,87.84,87.17,49.74,61.7,29.32,65.19,8.32,9.94,21.31,15.74,6.49,84.92
RW,82.67,87.77,71.28,71.29,38.37,68.48,16.2,12.3,2.88,16.54,11.75,83.82
CDM,62.98,44.94,75.64,28.14,80.07,67.34,22.25,15.09,17.69,16.65,1.0,81.46
CM,64.95,66.69,91.97,83.87,64.49,71.4,6.83,12.64,5.26,14.23,12.85,85.62
CDM,59.33,55.64,70.72,61.78,78.84,65.08,9.09,9.39,8.0,11.29,7.97,81.67
LB,79.08,46.93,75.36,88.26,57.61,89.25,9.53,4.45,20.08,14.37,8.7,86.75
LB,73.8,37.84,54.55,66.4,81.07,49.94,11.04,14.04,17.42,19.01,16.5,80.19
CB,45.55,46.54,76.18,40.13,53.26,83.48,11.44,10.84,24.71,16.58,15.19,79.09
LB,71.38,37.77,80.93,65.61,65.43,73.93,9.72,11.55,10.45,19.5,11.45,83.25
RB,86.38,52.06,64.9,72.53,82.65,62.16,17.95,9.85,13.06,9.76,16.59,86.05
RW,87.12,80.62,69.2,81.31,47.07,59.23,12.15,11.9,8.03,12.37,9.95,85.07
GK,66.42,19.11,61.88,40.44,51.08,74.48,71.9,87.17,52.53,82.99,83.78,82.43
CB,56.02,12.83,57.14,62.18,71.37,81.02,10.15,5.21,16.17,11.82,15.56,76.68
ST,81.81,65.78,43.73,58.37,27.65,78.72,19.84,9.44,13.55,17.53,15.16,81.76
ST,67.43,69.44,51.78,70.38,37.31,62.48,10.67,13.02,5.92,16.32,15.83,77.14
LW,75.41,85.41,72.63,69.42,44.26,58.45,16.63,13.81,9.79,14.94,9.19,82.24
LB,63.46,22.68,61.73,65.0,53.87,48.64,12.98,8.39,12.42,13.09,16.85,72.46
CDM,69.06,50.21,55.16,69.65,67.43,73.85,11.04,9.73,11.73,12.41,15.16,81.82
GK,39.66,12.79,45.6,35.73,28.17,45.33,65.83,83.2,61.35,75.82,64.52,76.85
CDM,64.56,34.56,78.66,41.71,81.6,86.75,13.72,11.83,12.03,20.29,20.73,85.79
CB,48.98,42.85,51.29,44.38,67.49,61.22,11.07,15.24,17.65,22.73,11.2,71.78
RW,89.21,68.55,58.38,78.11,31.67,68.1,12.21,11.21,14.48,12.98,11.43,83.21
RW,77.51,82.54,55.87,79.23,43.94,76.9,11.91,12.48,10.58,11.21,10.74,83.18
ST,76.71,95.51,60.25,72.31,42.17,65.72,16.0,7.4,11.25,11.29,7.24,88.13
RW,72.71,74.13,55.59,66.77,57.52,60.65,12.86,9.32,18.58,13.66,10.37,82.41
CDM,74.73,61.63,91.91,53.46,75.27,97.66,15.69,8.53,11.2,5.14,15.16,88.39
ST,86.14,88.95,49.59,72.66,35.12,75.16,9.57,5.21,11.39,17.13,16.18,85.24
LB,73.84,63.37,81.62,72.62,69.07,63.73,7.39,9.07,16.31,18.98,9.66,82.03
CB,45.18,40.66,46.89,40.79,82.95,79.65,17.27,15.81,6.78,14.0,12.37,81.03
LW,78.56,75.74,65.75,84.43,39.41,64.85,15.12,10.23,7.76,11.41,7.3,84.48
CAM,76.35,78.83,74.06,77.88,27.9,60.16,7.96,20.58,13.36,17.03,13.33,84.58
CM,72.83,55.17,84.18,59.34,57.73,69.59,12.16,9.84,14.23,13.7,15.68,79.1
CB,44.78,37.08,40.2,37.99,67.27,59.31,10.83,13.1,6.12,19.46,11.72,74.22
CAM,59.38,82.62,74.97,70.74,31.49,59.82,8.5,11.29,13.92,17.82,14.79,79.31
GK,56.06,17.83,56.33,45.83,27.98,56.1,79.21,65.07,91.91,66.16,99.0,83.15
RB,76.6,35.3,55.14,48.78,63.2,71.6,12.13,11.43,12.66,8.79,11.82,77.7
CM,69.61,46.63,67.09,73.85,61.56,70.05,14.19,18.99,11.91,6.71,9.35,77.07
GK,43.09,33.5,44.39,42.15,50.58,65.99,69.56,83.55,67.1,65.6,54.21,76.92
LW,79.63,72.9,70.47,75.16,33.23,52.06,5.09,11.32,15.43,14.1,13.15,81.79
RB,70.26,48.73,69.54,30.97,55.68,66.11,9.74,9.19,7.61,16.54,16.87,76.57
RB,74.04,53.16,94.89,59.95,75.38,70.09,18.85,14.3,5.58,13.2,14.59,83.8
CDM,49.53,50.17,68.49,61.16,84.54,95.81,11.55,8.92,13.97,15.32,16.84,81.12
RB,77.16,48.78,59.75,80.4,72.33,68.92,12.83,13.48,3.4,15.93,5.07,84.11
RB,64.19,59.36,56.64,59.07,68.97,83.02,12.86,16.73,7.77,8.99,8.76,81.28
CDM,75.59,61.12,58.48,54.85,76.46,81.32,6.97,19.66,20.99,10.01,13.48,81.08
RW,92.07,91.0,58.12,76.12,41.44,64.74,10.04,14.13,10.49,11.88,14.11,87.75
LB,72.48,49.55,54.98,60.2,69.6,63.43,11.58,14.51,4.51,5.7,11.25,78.08
CDM,68.47,49.81,83.84,53.86,73.95,78.49,7.15,19.58,19.1,12.25,15.84,83.48
GK,46.17,19.97,42.38,46.91,24.21,62.54,75.21,67.07,55.41,79.21,47.6,76.45
CDM,68.02,72.15,67.31,50.73,76.17,64.93,3.39,7.92,14.35,10.74,17.51,79.99
RB,63.3,53.03,69.0,44.52,79.32,56.15,10.28,5.36,4.67,12.24,15.61,78.03
ST,67.57,61.01,45.92,53.27,44.56,70.18,6.67,13.63,7.81,18.04,12.24,78.34
LB,80.64,62.32,59.41,68.31,94.52,73.3,16.1,19.0,8.72,16.22,23.19,86.08
RB,80.96,61.42,71.72,69.18,64.74,65.05,11.28,12.05,10.37,15.01,8.1,83.78
CAM,66.47,71.55,91.04,82.15,47.23,54.24,2.75,17.63,14.07,5.65,4.4,84.9
GK,52.49,17.02,62.61,12.66,23.59,40.65,69.06,55.48,57.73,61.03,81.2,75.61
RW,79.49,69.23,67.4,69.46,29.67,47.32,15.28,8.92,15.55,15.78,15.74,82.65
LB,74.84,53.25,69.76,57.02,74.91,52.12,12.78,11.51,8.54,10.34,6.64,76.06
RB,70.92,34.41,69.73,82.36,38.47,73.1,15.56,12.65,16.64,10.18,14.81,79.01
CB,51.82,46.51,50.01,55.7,69.42,82.16,9.28,7.29,20.29,11.22,20.76,77.99
LB,69.76,47.59,69.7,65.91,56.1,81.97,5.0,8.84,11.72,13.48,12.55,79.92
CDM,67.45,51.95,63.08,62.42,63.95,74.54,9.13,20.38,6.89,16.59,13.41,79.7
CM,54.7,41.89,59.14,56.85,66.91,63.5,8.43,12.36,14.97,10.69,4.93,76.43
CM,62.84,59.97,75.47,79.95,85.11,78.74,10.51,16.45,13.07,8.9,14.64,85.92
CDM,58.87,50.89,65.14,80.46,82.2,76.6,9.7,15.34,8.98,4.94,11.53,85.35
GK,49.35,14.63,57.74,49.68,41.32,69.39,65.88,67.81,46.89,74.85,76.36,76.87
ST,70.82,99.0,66.86,83.3,34.76,56.57,12.59,17.54,13.61,7.6,13.56,85.55
RB,76.23,59.38,50.81,60.48,64.7,40.45,12.85,6.17,9.76,17.05,10.62,74.26
LB,66.36,34.61,81.81,60.17,35.75,57.84,13.43,6.52,8.3,16.27,16.66,73.82
RW,90.91,74.31,74.29,68.71,39.72,72.68,11.64,13.41,9.78,13.83,9.29,85.4
CB,52.22,36.96,61.66,59.74,73.32,79.56,9.28,18.77,27.09,10.87,14.52,78.94
CM,52.8,58.48,61.85,49.04,58.31,66.27,14.49,11.94,15.09,9.32,14.94,74.31
RB,85.13,49.91,50.84,68.61,65.66,60.27,12.21,12.55,12.47,14.07,13.04,82.51
RB,64.08,53.1,66.02,53.61,63.54,74.12,8.65,7.59,13.05,13.55,14.54,76.68
LW,86.3,76.27,79.94,82.64,32.53,54.68,15.87,6.85,13.33,8.27,15.2,85.96
LB,73.14,49.91,47.24,52.8,84.18,60.65,11.73,8.42,13.65,8.48,8.81,77.41
CDM,74.26,32.21,64.01,46.15,86.16,64.01,17.2,13.81,7.67,12.07,11.82,79.27
RB,79.49,49.19,73.87,65.38,60.11,66.3,8.83,15.74,15.97,12.6,18.73,80.33
CDM,55.52,30.92,48.89,71.05,84.18,66.2,11.57,10.14,17.14,15.39,7.28,79.3
LW,72.0,84.64,72.63,78.34,45.37,63.72,10.97,14.67,11.77,12.79,11.18,86.46
LB,62.33,43.07,75.53,50.7,62.61,65.85,14.01,12.39,7.36,6.0,10.28,79.68
CAM,72.23,70.3,75.77,93.17,46.89,47.5,15.33,6.49,7.78,15.99,12.54,86.85
GK,39.06,10.61,38.48,35.66,47.11,56.97,90.78,63.63,58.93,68.35,71.12,78.48
CAM,82.98,61.3,52.56,99.0,31.81,74.69,12.22,15.64,14.39,9.81,12.27,82.62
GK,39.45,27.1,45.53,27.54,36.05,71.89,90.73,76.49,75.55,90.67,76.85,88.63
LB,70.54,46.02,62.66,55.14,73.19,63.68,14.52,19.89,10.69,18.58,13.32,77.23
RB,59.2,30.38,73.86,58.4,71.57,71.86,18.53,12.43,9.57,14.09,10.42,77.93
LB,75.7,53.36,67.07,64.49,76.13,61.32,17.3,11.03,4.95,2.29,9.73,82.54
CAM,68.92,74.17,69.46,69.78,27.58,50.9,7.39,12.05,7.74,11.99,8.16,78.82
GK,42.25,15.97,51.5,30.17,33.07,42.01,68.14,67.67,75.52,76.96,68.0,79.56
LB,74.26,36.3,74.16,70.44,68.1,68.62,9.28,8.17,16.06,16.13,13.61,83.18
CB,57.61,25.13,68.55,55.49,69.06,80.41,12.51,15.99,16.64,18.97,11.2,79.7
CM,59.62,47.19,63.4,75.19,63.46,75.26,7.62,9.55,7.23,15.3,6.2,82.6
RB,66.84,38.26,76.62,59.83,51.39,44.64,13.85,12.34,3.57,13.54,17.06,75.09
CDM,68.97,52.77,58.57,48.28,74.94,67.63,5.96,7.9,13.73,14.1,9.33,80.63
LW,75.51,78.95,79.91,89.59,36.53,49.31,10.38,5.05,5.68,9.19,17.04,84.03
GK,33.22,12.88,61.9,33.91,35.3,71.43,81.51,66.7,99.0,57.84,73.79,83.11
RW,75.09,64.42,55.28,68.41,33.2,44.7,16.25,7.6,10.3,13.55,13.75,75.93
CB,39.59,22.16,51.59,44.81,80.6,87.97,19.25,14.12,19.35,14.03,15.65,79.24
LW,77.62,59.88,72.69,83.92,45.44,59.98,12.4,13.82,1.0,8.2,15.26,81.65
CAM,69.48,70.16,74.52,64.47,51.73,52.98,11.58,14.46,5.63,16.43,15.58,81.64
CDM,59.67,52.33,70.07,66.15,69.59,51.81,11.63,16.11,9.05,9.13,11.44,75.12
ST,69.61,81.09,55.71,75.85,32.9,66.01,9.98,11.45,7.14,19.17,12.45,80.52
RW,73.86,64.77,56.89,84.23,34.75,59.26,9.46,10.33,18.27,14.17,13.49,82.14
GK,47.64,22.35,36.74,44.87,44.97,63.11,58.05,66.38,58.14,58.49,60.61,75.51
RB,78.9,50.94,71.93,76.88,73.69,48.31,10.44,14.47,14.98,8.7,16.86,82.17
CDM,75.27,56.52,83.88,59.57,63.63,63.18,19.2,17.65,14.18,4.41,10.26,79.88
CM,73.66,62.19,84.38,65.23,49.09,73.05,13.7,4.39,5.11,7.02,11.4,82.92
CDM,81.04,63.19,73.45,53.59,81.28,71.81,20.38,14.08,14.52,8.61,7.52,81.23
CDM,61.65,55.0,79.2,57.59,75.07,88.29,10.82,12.21,12.76,9.19,8.37,84.47
CAM,73.5,72.14,85.69,73.13,25.39,62.74,14.29,10.46,11.52,8.11,11.24,82.8
RW,76.17,71.53,55.24,94.14,45.6,69.4,15.92,16.07,11.96,13.19,18.94,83.56
CDM,72.32,31.3,68.45,79.59,66.49,67.35,6.01,10.24,11.29,13.22,11.58,80.67
CB,57.29,53.85,72.67,56.78,71.31,81.9,18.08,28.13,14.98,14.75,11.24,83.35
ST,79.43,78.33,63.01,78.52,45.13,65.11,10.55,10.07,13.75,9.78,15.61,84.96
GK,38.29,19.39,54.69,37.76,65.67,68.54,70.28,76.36,67.67,50.84,79.75,81.2
CM,61.6,56.18,82.32,81.76,54.91,73.1,18.72,15.51,15.22,14.12,14.42,82.07
CM,61.77,67.01,79.34,73.98,35.26,55.91,16.22,12.19,13.45,7.18,18.51,79.11
LW,79.85,75.89,49.43,65.4,34.79,49.61,11.54,10.79,9.25,8.07,14.59,81.86
RW,67.84,76.44,55.05,73.76,44.96,47.13,21.49,17.0,12.13,15.88,14.03,76.73
LB,53.61,50.17,68.84,56.86,71.09,69.95,6.58,11.33,16.57,10.99,13.23,76.52
CDM,75.69,57.66,68.37,71.35,72.95,65.89,11.36,10.57,5.58,5.68,4.36,82.01
RB,60.71,62.76,55.85,82.31,80.33,55.76,16.31,7.79,12.87,1.0,9.41,77.48
RW,78.8,64.77,66.86,76.31,35.18,51.34,14.64,12.4,12.51,10.18,10.76,80.79
RW,68.81,64.62,60.13,86.02,37.36,51.05,12.39,15.32,8.84,12.78,18.3,81.92
RW,73.54,71.46,61.84,80.79,34.21,51.75,13.76,11.46,10.65,2.37,5.1,82.41
RW,85.66,63.25,60.58,76.83,30.57,52.95,20.81,6.89,9.56,19.67,8.16,80.19
CAM,84.47,78.25,69.88,75.96,46.04,56.62,9.56,9.88,16.05,13.63,14.49,83.7
LB,63.36,42.27,69.27,51.64,62.55,59.07,17.93,5.32,16.44,5.41,7.22,75.04
GK,25.09,23.05,57.12,31.75,32.52,71.19,70.45,62.85,68.64,73.55,78.96,80.25
RW,92.56,58.72,57.92,85.47,35.68,50.1,20.08,13.25,18.42,18.07,11.16,84.36
CAM,80.07,54.72,74.44,84.23,34.86,56.82,11.23,12.08,17.4,7.16,13.71,82.51
CM,67.48,68.15,78.07,70.68,44.82,51.45,13.26,14.3,17.15,9.85,10.39,77.48
CAM,63.0,58.83,98.26,80.39,48.95,70.81,11.17,10.6,4.63,2.25,1.0,84.46
CM,67.73,47.78,64.42,74.76,59.63,69.06,11.92,9.15,15.83,8.8,6.53,79.51
RW,82.43,71.46,73.6,82.89,50.44,56.5,6.26,15.07,17.64,12.52,13.91,84.34
CM,76.52,54.65,64.12,51.08,62.95,83.61,12.36,9.93,10.77,11.51,8.75,78.95
RW,86.06,67.96,80.74,68.55,50.88,58.81,18.32,8.28,13.14,11.01,12.25,83.82
RW,87.53,82.34,71.47,83.72,40.8,60.69,10.22,12.42,21.29,20.44,6.77,88.6
CDM,46.19,53.61,48.17,52.19,55.14,68.39,7.39,10.68,10.23,7.36,15.11,70.67
LB,79.69,34.88,58.36,61.76,71.01,64.39,14.06,9.52,6.04,14.6,17.65,80.56
CDM,75.59,40.42,56.18,42.8,74.07,58.66,7.93,10.6,8.81,8.54,15.44,76.41
ST,74.62,82.25,64.54,67.33,36.83,65.03,8.25,15.32,13.53,19.48,6.72,81.95
RW,71.87,78.34,79.62,55.6,43.92,65.72,13.75,11.49,10.78,14.96,11.65,79.54
CAM,80.15,60.82,78.4,81.9,57.21,73.44,10.29,12.45,13.89,13.85,7.42,86.76
RW,79.4,70.8,66.38,72.03,37.92,67.56,11.36,9.55,12.32,13.26,6.54,83.55
CB,64.47,33.35,63.74,56.75,87.85,47.94,16.35,15.36,9.19,14.11,12.78,78.78
LW,85.81,77.64,64.75,70.24,51.62,65.46,11.26,7.69,16.67,11.56,16.55,83.49
CM,47.84,44.96,78.28,61.94,57.87,71.25,16.62,11.02,11.29,7.89,15.12,76.82
CAM,92.25,77.04,72.01,78.2,46.32,76.52,16.57,8.86,7.27,6.06,2.67,87.14
RW,75.01,76.88,65.83,81.76,56.67,55.19,16.13,13.26,5.62,20.4,18.12,84.79
CAM,54.02,68.33,87.17,97.19,74.91,35.93,1.0,13.1,8.86,19.69,19.02,86.17
LB,56.89,51.42,58.69,40.86,66.91,56.68,14.03,8.63,12.23,9.88,17.1,74.49
CB,48.48,33.64,50.26,61.3,89.9,83.15,10.32,13.3,7.76,11.23,17.82,82.92
CDM,68.03,48.67,70.81,56.16,77.38,78.26,11.0,2.59,10.73,13.43,9.96,77.81
